cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,2048,2048,ck,6,0,14.7638,,0.57,0,0.0
256,2,2048,2048,ck,6,0,13.1822,,1.27,0,0.0
256,4,2048,2048,ck,8,0,13.3644,,2.51,0,0.0
256,8,2048,2048,ck,3,0,13.25,,5.06,0,0.0
256,16,2048,2048,ck,3,0,13.4536,,9.98,0,0.0
256,32,2048,2048,ck,8,0,13.4522,,19.95,0,0.0
256,48,2048,2048,ck,3,0,13.7592,,29.26,0,0.0
256,64,2048,2048,ck,5,0,13.6214,,39.41,0,0.0
256,96,2048,2048,ck,3,0,14.834,,54.29,0,0.0
256,128,2048,2048,ck,3,0,14.3164,,75.0,0,0.0
256,192,2048,2048,ck,3,0,17.6546,,91.23,0,0.0
256,256,2048,2048,ck,3,0,18.089,,118.72,0,0.0
256,512,2048,2048,ck,0,0,25.5818,,167.89,0,0.0
256,1024,2048,2048,ck,0,0,48.9976,,175.31,0,0.0
256,1,2624,6144,ck,6,0,25.0116,,1.29,0,0.0
256,2,2624,6144,ck,8,0,25.3294,,2.55,0,0.0
256,4,2624,6144,ck,6,0,27.8516,,4.63,0,0.0
256,8,2624,6144,ck,8,0,25.311,,10.19,0,0.0
256,16,2624,6144,ck,8,0,25.0942,,20.56,0,0.0
256,32,2624,6144,ck,13,0,28.5648,,36.12,0,0.0
256,48,2624,6144,cktile,1,0,48.3316,,32.02,0,0.0
256,64,2624,6144,ck,18,0,30.8154,,66.97,0,0.0
256,96,2624,6144,ck,2,0,44.4904,,69.57,0,0.0
256,128,2624,6144,ck,2,0,45.3756,,90.96,0,0.0
256,192,2624,6144,ck,18,0,53.8736,,114.91,0,0.0
256,256,2624,6144,ck,0,0,64.1886,,128.6,0,0.0
256,512,2624,6144,ck,0,0,112.653,,146.55,0,0.0
256,1024,2624,6144,ck,0,0,159.3744,,207.17,0,0.0
256,1,3072,6144,ck,6,0,26.7268,,1.41,0,0.0
256,2,3072,6144,ck,6,0,25.132,,3.0,0,0.0
256,4,3072,6144,ck,8,0,25.4596,,5.93,0,0.0
256,8,3072,6144,ck,8,0,25.4532,,11.86,0,0.0
256,16,3072,6144,ck,8,0,25.3388,,23.84,0,0.0
256,32,3072,6144,ck,13,0,28.7004,,42.09,0,0.0
256,48,3072,6144,ck,7,0,32.1688,,56.33,0,0.0
256,64,3072,6144,ck,18,0,30.7424,,78.59,0,0.0
256,96,3072,6144,ck,12,0,36.0148,,100.62,0,0.0
256,128,3072,6144,ck,2,0,44.2354,,109.23,0,0.0
256,192,3072,6144,ck,2,0,44.1318,,164.23,0,0.0
256,256,3072,6144,ck,3,0,62.612,,154.34,0,0.0
256,512,3072,6144,ck,0,0,96.3858,,200.52,0,0.0
256,1024,3072,6144,ck,0,0,153.3264,,252.11,0,0.0
256,1,3584,512,cktile,1,0,11.9926,,0.31,0,0.0
256,2,3584,512,cktile,1,0,11.8058,,0.62,0,0.0
256,4,3584,512,cktile,1,0,11.72,,1.25,0,0.0
256,8,3584,512,cktile,1,0,11.7432,,2.5,0,0.0
256,16,3584,512,cktile,1,0,11.8398,,4.96,0,0.0
256,32,3584,512,cktile,1,0,11.932,,9.84,0,0.0
