cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,1024,3072,6144,ck,0,0,176.4251,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,219.1,178.3,0.0
80,2048,3072,6144,ck,0,0,265.6491,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,291.02,165.78,0.0
80,4096,3072,6144,ck,0,0,503.0467,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,307.36,137.57,0.0
80,8192,3072,6144,ck,0,0,987.9967,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,312.99,120.99,0.0
80,16384,3072,6144,ck,0,0,1929.3039,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,320.57,114.13,0.0
80,20480,3072,6144,ck,0,0,2399.5705,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,322.18,112.74,0.0
80,16,6144,768,ck,7,0,5.9978,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,25.18,821.55,0.0
80,16,6144,1536,ck,7,0,9.7531,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,30.96,990.29,0.0
80,32,6144,768,ck,12,0,7.393,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,40.85,694.76,0.0
80,32,6144,1536,ck,12,0,11.6653,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,51.78,846.92,0.0
80,64,6144,768,ck,18,0,9.5446,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,63.28,581.92,0.0
80,64,6144,1536,ck,18,0,16.1524,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,74.79,639.03,0.0
80,128,6144,768,ck,18,0,12.9486,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,93.29,493.47,0.0
80,128,6144,1536,ck,18,0,22.6448,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,106.69,494.89,0.0
80,256,6144,768,ck,3,0,18.7745,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,128.68,429.36,0.0
80,256,6144,1536,ck,3,0,33.1875,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,145.59,390.99,0.0
80,512,6144,768,ck,0,0,30.4263,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,158.8,374.78,0.0
80,512,6144,1536,ck,0,0,51.9978,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,185.85,317.61,0.0
